fromaccount	toaccount	syscode	timestamp	amount
B47428	1000095	64	2014-09-01 13:24:30	104
A61397	1000016	28	2014-09-01 13:26:44	830
E22354	1000016	28	2014-09-01 13:27:58	400
B70400	1000016	28	2014-09-01 13:32:28	1290
A52439	1000095	64	2014-09-01 13:32:30	105
C63395	1000016	28	2014-09-01 13:33:02	300
A52439	1000095	64	2014-09-01 13:35:27	19
B59308	1000016	28	2014-09-01 13:22:31	970
A44483	1000016	28	2014-09-01 13:22:30	200
E54841	1000143	81	2014-09-01 13:36:28	656
B72247	1000016	28	2014-09-01 13:37:12	380
E40778	1000095	64	2014-09-01 13:37:39	57
A70622	1000016	28	2014-09-01 13:37:56	3310
C75321	1000095	22	2014-09-01 13:40:21	14
D66144	1000027	34	2014-09-01 06:06:03	240
B78040	1000029	34	2014-09-01 06:05:58	300
C49726	1000031	34	2014-09-01 06:05:53	200
E68617	1000038	34	2014-09-01 06:05:45	70
B34345	1000030	34	2014-09-01 06:05:58	620
C74989	1000027	34	2014-09-01 06:05:53	250
B75673	1000031	34	2014-09-01 06:05:58	400
E56356	1000027	34	2014-09-01 06:05:53	360
A60200	1000029	34	2014-09-01 06:05:52	200
D78725	1000030	34	2014-09-01 06:05:53	150
B75825	1000029	34	2014-09-01 06:06:03	70
A20843	1000001	30	2014-09-01 06:05:54	250
C46573	1000011	30	2014-09-01 06:06:03	300
D47516	1000011	30	2014-09-01 06:06:00	150
B65038	1000001	30	2014-09-01 06:05:52	250
D52617	1000011	30	2014-09-01 06:11:20	300
B32309	1000010	30	2014-09-01 06:11:08	150
B67531	1000001	30	2014-09-01 06:11:23	120
A73252	1000001	30	2014-09-01 06:11:12	100
A19359	1000001	30	2014-09-01 06:11:19	60
B52546	1000003	30	2014-09-01 06:11:24	100
A49804	1000011	30	2014-09-01 06:11:15	150
B62647	1000001	30	2014-09-01 06:11:22	250
A58137	1000001	30	2014-09-01 06:11:13	200
A72046	1000031	34	2014-09-01 06:11:06	200
C16737	1000027	34	2014-09-01 06:11:24	150
C71800	1000030	34	2014-09-01 06:11:04	180
D48216	1000029	34	2014-09-01 06:11:12	600
A54916	1000030	34	2014-09-01 06:11:09	1000
C33470	1000029	34	2014-09-01 06:11:21	750
B63610	1000029	34	2014-09-01 06:11:06	700
C45429	1000027	34	2014-09-01 06:11:23	140
B30119	1000027	34	2014-09-01 06:11:19	240
C64083	1000030	34	2014-09-01 06:11:11	500
B52368	1000031	34	2014-09-01 06:11:13	320
E38047	1000027	34	2014-09-01 06:11:04	150
A54916	1000030	34	2014-09-01 06:11:05	200
C78059	1000027	34	2014-09-01 06:11:20	500
C36057	1000027	34	2014-09-01 06:11:19	400
C32503	1000029	34	2014-09-01 06:11:12	250
C69000	1000027	34	2014-09-01 06:11:14	600
A78524	1000031	34	2014-09-01 06:11:12	540
C62050	1000010	30	2014-09-01 06:11:11	400
A49804	1000011	30	2014-09-01 06:11:12	300
D27085	1000011	30	2014-09-01 06:11:15	500
D47980	1000001	30	2014-09-01 06:11:14	100
C71731	1000010	30	2014-09-01 06:11:18	350
B50482	1000001	30	2014-09-01 06:11:11	100
A68037	1000010	30	2014-09-01 06:11:15	600
A39711	1000001	30	2014-09-01 06:11:18	100
E24945	1000011	30	2014-09-01 06:11:22	250
D42420	1000027	34	2014-09-01 06:11:16	510
A52302	1000038	34	2014-09-01 06:11:09	300
D70983	1000038	34	2014-09-01 06:11:12	210
D27546	1000030	34	2014-09-01 06:11:14	470
A56419	1000030	34	2014-09-01 06:11:07	600
B77155	1000027	34	2014-09-01 06:11:10	40
C47080	1000030	34	2014-09-01 06:11:10	500
B48244	1000030	34	2014-09-01 06:11:12	150
A74108	1000031	34	2014-09-01 06:11:10	520
E78474	1000027	34	2014-09-01 06:11:22	240
D73580	1000038	34	2014-09-01 06:11:13	270
B62466	1000031	34	2014-09-01 06:11:16	280
B33797	1000029	34	2014-09-01 06:11:17	750
D72263	1000027	34	2014-09-01 06:11:25	450
A72607	1000029	34	2014-09-01 06:11:10	250
E72438	1000030	34	2014-09-01 06:11:21	320
A76497	1000031	34	2014-09-01 06:11:10	500
A77737	1000027	34	2014-09-01 06:11:16	290
C78442	1000027	34	2014-09-01 06:11:10	550
C31558	1000027	34	2014-09-01 06:11:11	300
E37552	1000001	30	2014-09-01 06:11:12	450
C33100	1000003	30	2014-09-01 06:11:22	100
B62647	1000001	30	2014-09-01 06:11:28	120
A70191	1000011	30	2014-09-01 06:11:29	100
C77668	1000038	34	2014-09-01 06:11:27	500
A42569	1000030	34	2014-09-01 05:49:26	200
B77475	1000038	34	2014-09-01 05:49:12	270
E61986	1000029	34	2014-09-01 05:49:26	150
B39028	1000003	30	2014-09-01 05:49:22	650
A76626	1000007	30	2014-09-01 05:49:14	350
E69358	1000001	30	2014-09-01 05:49:26	440
D51515	1000001	30	2014-09-01 05:49:21	290
A65007	1000001	30	2014-09-01 05:49:30	370
A76281	1000001	30	2014-09-01 05:49:29	230
A53715	1000011	30	2014-09-01 05:49:23	250
E72997	1000010	30	2014-09-01 05:49:16	400
A71796	1000007	30	2014-09-01 05:49:23	150
A36071	1000001	30	2014-09-01 05:49:12	100
D64984	1000027	34	2014-09-01 05:49:22	290
E68043	1000031	34	2014-09-01 05:49:13	850
D75462	1000027	34	2014-09-01 05:49:21	310
E67562	1000027	34	2014-09-01 05:49:27	70
A78021	1000027	34	2014-09-01 05:49:24	150
A36397	1000038	34	2014-09-01 05:49:22	270
A71760	1000038	34	2014-09-01 05:49:12	170
B37844	1000031	34	2014-09-01 05:49:27	350
A42569	1000030	34	2014-09-01 05:49:15	70
C77974	1000030	34	2014-09-01 05:49:30	150
C46472	1000003	30	2014-09-01 05:49:28	650
A55306	1000001	30	2014-09-01 05:49:26	200
C74613	1000003	30	2014-09-01 05:49:14	650
B47675	1000010	30	2014-09-01 05:49:14	250
A36230	1000001	30	2014-09-01 05:49:10	120
D77583	1000011	30	2014-09-01 05:49:29	900
D60171	1000001	30	2014-09-01 05:49:15	200
B79342	1000010	30	2014-09-01 05:49:20	100
A72909	1000011	30	2014-09-01 05:49:15	700
D47218	1000011	30	2014-09-01 05:49:19	250
A37205	1000007	30	2014-09-01 05:50:24	600
B68125	1000001	30	2014-09-01 05:50:12	270
D71589	1000001	30	2014-09-01 05:50:30	270
B77934	1000003	30	2014-09-01 05:50:16	400
C76665	1000003	30	2014-09-01 05:50:14	800
C74665	1000003	30	2014-09-01 05:50:15	650
A54269	1000007	30	2014-09-01 05:50:27	250
D75527	1000003	30	2014-09-01 05:50:16	700
D61446	1000010	30	2014-09-01 05:50:12	150
E44491	1000001	30	2014-09-01 05:50:23	400
B69599	1000030	34	2014-09-01 05:50:14	180
B36600	1000027	34	2014-09-01 05:50:19	200
A69362	1000031	34	2014-09-01 05:50:25	500
B67460	1000038	34	2014-09-01 05:50:28	270
C64814	1000027	34	2014-09-01 05:50:23	320
D57793	1000031	34	2014-09-01 05:50:22	500
C77974	1000030	34	2014-09-01 05:50:18	100
C67232	1000029	34	2014-09-01 05:50:13	450
A17512	1000027	34	2014-09-01 05:50:30	240
E56861	1000027	34	2014-09-01 05:50:24	320
E74042	1000011	30	2014-09-01 05:50:20	400
B20511	1000007	30	2014-09-01 05:50:29	350
B72473	1000010	30	2014-09-01 05:50:20	400
E79606	1000001	30	2014-09-01 05:50:29	200
D78344	1000001	30	2014-09-01 05:50:27	120
A62703	1000001	30	2014-09-01 05:50:27	290
C78364	1000007	30	2014-09-01 05:50:30	250
E59304	1000011	30	2014-09-01 05:50:18	250
D28983	1000003	30	2014-09-01 05:50:30	650
A33651	1000011	30	2014-09-01 05:50:28	150
E64558	1000001	30	2014-09-01 05:54:31	60
C79050	1000001	30	2014-09-01 05:54:31	420
C41467	1000007	30	2014-09-01 05:54:31	350
B54831	1000011	30	2014-09-01 05:54:42	300
C64831	1000011	30	2014-09-01 05:54:37	100
E62457	1000031	34	2014-09-01 05:54:45	340
D65030	1000029	34	2014-09-01 05:54:30	550
B75894	1000027	34	2014-09-01 05:54:40	410
E51566	1000030	34	2014-09-01 05:54:29	460
E47386	1000030	34	2014-09-01 05:54:44	180
E73873	1000029	34	2014-09-01 05:54:32	1150
C35298	1000027	34	2014-09-01 05:54:38	320
E15791	1000003	30	2014-09-01 05:54:35	700
A38952	1000001	30	2014-09-01 05:54:48	120
D78325	1000007	30	2014-09-01 05:54:34	400
D78893	1000011	30	2014-09-01 05:54:45	400
D36281	1000003	30	2014-09-01 05:54:41	1100
C78256	1000001	30	2014-09-01 05:54:35	100
D51202	1000001	30	2014-09-01 05:54:42	150
C71297	1000001	30	2014-09-01 05:54:38	520
A65970	1000001	30	2014-09-01 05:54:39	100
A65795	1000010	30	2014-09-01 05:54:41	150
B72569	1000003	30	2014-09-01 05:54:33	650
A76861	1000001	30	2014-09-01 05:54:42	100
E71578	1000011	30	2014-09-01 05:54:31	250
A76298	1000003	30	2014-09-01 05:54:48	800
E51219	1000011	30	2014-09-01 05:54:36	400
E70631	1000010	30	2014-09-01 05:54:47	250
C39343	1000001	30	2014-09-01 05:54:46	100
D67033	1000011	30	2014-09-01 05:54:48	400
A68126	1000001	30	2014-09-01 05:54:41	460
A77180	1000001	30	2014-09-01 05:54:31	30
A26809	1000031	34	2014-09-01 05:54:49	180
A63069	1000029	34	2014-09-01 05:54:34	220
C43927	1000003	30	2014-09-01 05:54:35	200
A77201	1000007	30	2014-09-01 05:54:33	980
A47102	1000001	30	2014-09-01 05:54:46	70
C57217	1000011	30	2014-09-01 05:54:38	400
D52215	1000003	30	2014-09-01 05:54:44	500
B49940	1000001	30	2014-09-01 05:54:46	320
B79512	1000007	30	2014-09-01 05:54:41	700
C74658	1000001	30	2014-09-01 05:54:49	260
D63289	1000010	30	2014-09-01 05:54:42	350
A50899	1000007	30	2014-09-01 05:54:48	500
B78061	1000011	30	2014-09-01 05:54:53	300
A77134	1000011	30	2014-09-01 05:54:46	250
D57486	1000003	30	2014-09-01 05:54:52	650
D46977	1000010	30	2014-09-01 05:54:44	650
D71718	1000001	30	2014-09-01 05:54:46	30
C57217	1000011	30	2014-09-01 05:54:41	400
E56003	1000003	30	2014-09-01 05:54:52	500
C71297	1000001	30	2014-09-01 05:54:46	450
C72201	1000001	30	2014-09-01 05:54:52	100
C41467	1000007	30	2014-09-01 05:54:41	350
C27347	1000003	30	2014-09-01 05:54:34	750
E66340	1000011	30	2014-09-01 05:54:47	150
C76914	1000003	30	2014-09-01 05:54:51	500
A53984	1000001	30	2014-09-01 05:54:52	30
D58270	1000011	30	2014-09-01 05:54:36	450
E71578	1000011	30	2014-09-01 05:54:49	150
C70217	1000003	30	2014-09-01 05:54:37	500
A60276	1000003	30	2014-09-01 06:05:53	550
C79741	1000011	30	2014-09-01 06:05:57	250
A61701	1000010	30	2014-09-01 06:05:53	400
C67319	1000001	30	2014-09-01 06:05:48	270
C22743	1000003	30	2014-09-01 06:06:04	150
C77573	1000007	30	2014-09-01 06:05:44	400
C39887	1000001	30	2014-09-01 06:05:53	400
B49130	1000011	30	2014-09-01 06:06:03	150
E50690	1000011	30	2014-09-01 06:06:00	250
A58371	1000001	30	2014-09-01 06:05:57	100
E25649	1000001	30	2014-09-01 06:05:56	150
D53791	1000011	30	2014-09-01 06:05:58	600
B63423	1000007	30	2014-09-01 06:05:56	150
E50690	1000011	30	2014-09-01 06:05:54	150
B54101	1000011	30	2014-09-01 06:05:59	350
A73716	1000030	34	2014-09-01 06:06:02	440
E61184	1000029	34	2014-09-01 06:05:52	250
E74167	1000031	34	2014-09-01 06:06:05	550
C61089	1000031	34	2014-09-01 06:05:54	650
A73850	1000031	34	2014-09-01 06:05:52	600
D70480	1000030	34	2014-09-01 06:05:57	700
C76309	1000030	34	2014-09-01 06:05:56	350
C52547	1000029	34	2014-09-01 06:06:00	700
E59899	1000001	30	2014-09-01 06:05:53	200
C67208	1000001	30	2014-09-01 06:06:00	100
D73668	1000011	30	2014-09-01 06:05:49	400
A76805	1000011	30	2014-09-01 06:06:01	600
C57592	1000007	30	2014-09-01 06:05:56	280
E67811	1000007	30	2014-09-01 06:05:58	250
E69277	1000011	30	2014-09-01 06:05:56	250
C52498	1000001	30	2014-09-01 06:05:51	200
E25649	1000001	30	2014-09-01 06:05:49	60
B76589	1000029	34	2014-09-01 06:05:57	300
E79408	1000030	34	2014-09-01 06:05:49	680
E37583	1000030	34	2014-09-01 06:05:56	870
A39735	1000030	34	2014-09-01 06:06:02	400
A32461	1000029	34	2014-09-01 06:06:03	600
A52829	1000010	30	2014-09-01 06:06:02	500
C35237	1000001	30	2014-09-01 06:05:54	400
D74644	1000010	30	2014-09-01 06:06:01	250
B76099	1000010	30	2014-09-01 06:05:50	400
E24249	1000010	30	2014-09-01 06:06:05	150
C51564	1000011	30	2014-09-01 06:06:09	600
A62913	1000011	30	2014-09-01 06:06:03	250
C57445	1000010	30	2014-09-01 06:06:04	400
C56915	1000010	30	2014-09-01 06:05:52	700
E41838	1000011	30	2014-09-01 06:06:04	150
C74425	1000003	30	2014-09-01 06:06:06	100
C59657	1000001	30	2014-09-01 06:05:57	100
C35237	1000001	30	2014-09-01 06:05:51	350
E64439	1000029	34	2014-09-01 06:06:01	150
E70673	1000029	34	2014-09-01 06:05:57	200
A69499	1000030	34	2014-09-01 06:06:02	500
C72566	1000031	34	2014-09-01 06:05:52	240
B70918	1000031	34	2014-09-01 06:05:57	600
D45799	1000027	34	2014-09-01 06:06:00	540
E76874	1000029	34	2014-09-01 06:06:09	250
A24745	1000027	34	2014-09-01 06:05:53	340
D42100	1000029	34	2014-09-01 06:11:14	350
B57905	1000030	34	2014-09-01 06:11:09	380
C64926	1000030	34	2014-09-01 06:11:12	700
E38652	1000027	34	2014-09-01 06:11:23	290
E78182	1000031	34	2014-09-01 06:11:11	1000
E53892	1000029	34	2014-09-01 06:11:27	150
E62091	1000027	34	2014-09-01 06:11:26	240
D66629	1000027	34	2014-09-01 06:11:24	600
C54294	1000031	34	2014-09-01 06:11:29	300
E20657	1000030	34	2014-09-01 06:11:17	630
C67024	1000027	34	2014-09-01 06:11:16	450
A76878	1000029	34	2014-09-01 06:11:26	250
E78047	1000038	34	2014-09-01 06:11:26	270
E31175	1000027	34	2014-09-01 06:11:28	290
E50668	1000029	34	2014-09-01 06:11:21	450
D79325	1000038	34	2014-09-01 06:11:28	270
A33012	1000027	34	2014-09-01 06:11:30	400
D78854	1000027	34	2014-09-01 06:11:17	500
C69984	1000038	34	2014-09-01 06:11:20	170
A19359	1000007	30	2014-09-01 06:11:25	500
D31393	1000011	30	2014-09-01 06:11:16	400
E69277	1000007	30	2014-09-01 06:11:17	400
B65615	1000011	30	2014-09-01 06:11:25	450
A78209	1000027	34	2014-09-01 06:11:15	220
E43279	1000030	34	2014-09-01 06:11:23	430
E53710	1000029	34	2014-09-01 06:11:22	350
B76689	1000029	34	2014-09-01 06:11:14	570
C58983	1000027	34	2014-09-01 06:11:16	400
B30769	1000027	34	2014-09-01 06:11:10	150
B71349	1000030	34	2014-09-01 06:11:27	200
C54294	1000031	34	2014-09-01 06:11:10	120
A70501	1000027	34	2014-09-01 06:11:27	450
D76807	1000030	34	2014-09-01 06:11:12	650
B62466	1000031	34	2014-09-01 06:11:29	300
E60682	1000038	34	2014-09-01 06:11:32	170
C74231	1000027	34	2014-09-01 06:11:22	250
B63777	1000027	34	2014-09-01 06:11:15	270
B36825	1000029	34	2014-09-01 06:11:32	670
D19734	1000027	34	2014-09-01 06:11:14	270
C30120	1000031	34	2014-09-01 06:11:29	100
A70875	1000029	34	2014-09-01 06:11:22	600
C48140	1000010	30	2014-09-01 06:11:31	150
A48925	1000003	30	2014-09-01 06:11:17	100
B46691	1000001	30	2014-09-01 06:11:15	200
B73513	1000010	30	2014-09-01 06:11:15	150
C63319	1000011	30	2014-09-01 06:11:28	450
E77399	1000038	34	2014-09-01 06:11:30	170
C78563	1000027	34	2014-09-01 06:11:30	450
D73863	1000030	34	2014-09-01 06:11:19	720
B57547	1000038	34	2014-09-01 06:11:28	270
B66167	1000027	34	2014-09-01 06:11:29	370
E43279	1000030	34	2014-09-01 06:11:21	430
D39636	1000031	34	2014-09-01 06:11:20	440
A30193	1000027	34	2014-09-01 06:11:16	390
B78084	1000029	34	2014-09-01 06:11:16	370
D33127	1000031	34	2014-09-01 06:11:32	440
A66691	1000029	34	2014-09-01 06:11:32	600
A76924	1000030	34	2014-09-01 06:11:17	800
A45793	1000027	34	2014-09-01 06:11:25	250
B31299	1000030	34	2014-09-01 05:50:18	500
A67812	1000031	34	2014-09-01 05:50:25	500
B61176	1000029	34	2014-09-01 05:50:21	350
C39734	1000027	34	2014-09-01 05:50:21	270
B65254	1000038	34	2014-09-01 05:50:26	500
D57766	1000030	34	2014-09-01 05:50:31	500
A67812	1000031	34	2014-09-01 05:50:12	500
C66824	1000031	34	2014-09-01 05:50:20	200
D37887	1000027	34	2014-09-01 05:50:25	270
B50412	1000038	34	2014-09-01 05:50:19	170
B57591	1000003	30	2014-09-01 05:50:25	250
C28723	1000001	30	2014-09-01 05:50:26	320
E68764	1000010	30	2014-09-01 05:50:30	250
B67678	1000010	30	2014-09-01 05:50:25	500
D76236	1000001	30	2014-09-01 05:50:13	400
C73537	1000001	30	2014-09-01 05:50:14	300
B69301	1000001	30	2014-09-01 05:50:22	130
C66707	1000003	30	2014-09-01 05:50:25	650
A69123	1000011	30	2014-09-01 05:50:21	400
D66393	1000001	30	2014-09-01 05:50:18	200
E78238	1000027	34	2014-09-01 05:50:17	150
D72035	1000038	34	2014-09-01 05:50:27	170
A50884	1000030	34	2014-09-01 05:50:29	350
A76160	1000029	34	2014-09-01 05:50:16	400
E74960	1000031	34	2014-09-01 05:50:28	50
A32604	1000029	34	2014-09-01 05:50:35	300
A42569	1000030	34	2014-09-01 05:50:16	150
E71746	1000030	34	2014-09-01 05:50:22	500
E78983	1000027	34	2014-09-01 05:50:31	370
A72705	1000001	30	2014-09-01 05:50:15	470
D33409	1000001	30	2014-09-01 05:50:33	130
C66517	1000010	30	2014-09-01 05:50:26	400
D76958	1000003	30	2014-09-01 05:50:33	200
C54868	1000011	30	2014-09-01 05:50:26	500
D65294	1000007	30	2014-09-01 05:50:27	150
C76433	1000001	30	2014-09-01 05:50:23	100
B50837	1000003	30	2014-09-01 05:50:25	200
A63702	1000001	30	2014-09-01 05:50:21	70
E60693	1000030	34	2014-09-01 05:50:25	180
E54498	1000031	34	2014-09-01 05:50:34	500
B39122	1000031	34	2014-09-01 05:50:16	300
B71971	1000027	34	2014-09-01 05:50:18	340
A28372	1000030	34	2014-09-01 05:50:23	180
E74960	1000031	34	2014-09-01 05:50:24	450
A30759	1000038	34	2014-09-01 05:50:16	240
B31299	1000029	34	2014-09-01 05:50:28	150
B24561	1000027	34	2014-09-01 05:50:36	620
E71746	1000030	34	2014-09-01 05:50:17	180
C78959	1000011	30	2014-09-01 05:50:22	600
C72662	1000001	30	2014-09-01 05:50:24	250
B79342	1000010	30	2014-09-01 05:50:32	150
C72102	1000003	30	2014-09-01 05:50:20	400
D72194	1000011	30	2014-09-01 05:50:33	400
C35770	1000001	30	2014-09-01 05:50:17	290
C72982	1000003	30	2014-09-01 05:50:18	600
B79719	1000001	30	2014-09-01 05:50:36	120
D15124	1000003	30	2014-09-01 05:50:23	350
B50837	1000003	30	2014-09-01 05:50:26	500
E71053	1000001	30	2014-09-01 05:50:32	220
B79572	1000011	30	2014-09-01 05:50:19	400
E70848	1000010	30	2014-09-01 05:50:21	400
C76452	1000001	30	2014-09-01 05:54:50	370
D59503	1000010	30	2014-09-01 05:54:45	170
C70173	1000003	30	2014-09-01 05:54:52	750
D65030	1000030	34	2014-09-01 05:54:43	180
E79439	1000031	34	2014-09-01 05:54:47	200
E62457	1000031	34	2014-09-01 05:54:37	200
E73873	1000029	34	2014-09-01 05:54:54	200
E51566	1000030	34	2014-09-01 05:54:50	70
E51219	1000011	30	2014-09-01 05:54:37	100
C73254	1000007	30	2014-09-01 05:54:47	150
A70894	1000011	30	2014-09-01 05:54:38	850
C57217	1000011	30	2014-09-01 05:54:42	400
B48809	1000001	30	2014-09-01 05:54:55	100
D72424	1000007	30	2014-09-01 05:54:43	450
C52600	1000001	30	2014-09-01 05:54:48	340
E75775	1000010	30	2014-09-01 05:54:37	100
E56157	1000011	30	2014-09-01 05:54:35	400
C65981	1000001	30	2014-09-01 05:54:48	60
C69180	1000011	30	2014-09-01 05:54:36	750
B71814	1000010	30	2014-09-01 05:54:46	450
B36430	1000011	30	2014-09-01 05:54:42	300
C79332	1000003	30	2014-09-01 05:54:57	200
B69017	1000003	30	2014-09-01 05:54:42	350
D72962	1000003	30	2014-09-01 05:54:47	100
C45093	1000001	30	2014-09-01 05:54:43	30
E56157	1000011	30	2014-09-01 05:54:48	400
D76509	1000030	34	2014-09-01 05:54:50	680
C69813	1000030	34	2014-09-01 05:54:39	250
C26847	1000011	30	2014-09-01 05:54:38	400
D72962	1000003	30	2014-09-01 05:54:41	200
B36430	1000011	30	2014-09-01 05:54:44	150
A78798	1000011	30	2014-09-01 05:54:46	750
C76452	1000001	30	2014-09-01 05:54:43	420
E56992	1000001	30	2014-09-01 05:54:53	150
C77573	1000001	30	2014-09-01 05:54:40	160
E76581	1000003	30	2014-09-01 05:54:50	500
B73332	1000011	30	2014-09-01 05:54:54	400
E55958	1000003	30	2014-09-01 05:54:50	350
C77092	1000029	34	2014-09-01 05:54:52	670
C74364	1000027	34	2014-09-01 05:54:41	370
A79635	1000011	30	2014-09-01 05:54:43	400
B36430	1000011	30	2014-09-01 05:54:56	300
D72962	1000003	30	2014-09-01 05:54:43	500
E76581	1000003	30	2014-09-01 05:54:52	200
A53433	1000001	30	2014-09-01 05:54:50	370
B30991	1000011	30	2014-09-01 05:54:59	100
C64438	1000011	30	2014-09-01 05:54:52	300
D52215	1000001	30	2014-09-01 05:54:44	100
C25824	1000011	30	2014-09-01 05:54:55	400
D60786	1000011	30	2014-09-01 05:54:50	400
D77524	1000003	30	2014-09-01 05:54:59	600
C77829	1000001	30	2014-09-01 05:54:54	300
E32477	1000003	30	2014-09-01 05:54:51	650
B71814	1000010	30	2014-09-01 05:54:44	250
D78255	1000001	30	2014-09-01 05:54:57	350
C74658	1000003	30	2014-09-01 05:54:53	300
C23017	1000003	30	2014-09-01 05:54:42	250
A69211	1000010	30	2014-09-01 05:54:39	250
D55974	1000027	34	2014-09-01 06:06:01	400
A78908	1000027	34	2014-09-01 06:06:05	400
E72848	1000029	34	2014-09-01 06:06:57	600
D71258	1000031	34	2014-09-01 06:07:08	100
B71950	1000038	34	2014-09-01 06:07:10	340
D76130	1000030	34	2014-09-01 06:07:07	430
D62017	1000038	34	2014-09-01 06:06:50	210
D26682	1000029	34	2014-09-01 06:06:57	250
E64439	1000029	34	2014-09-01 06:06:53	300
C74989	1000027	34	2014-09-01 06:06:59	470
B77644	1000027	34	2014-09-01 06:07:08	250
C67819	1000030	34	2014-09-01 06:07:10	750
B65663	1000011	30	2014-09-01 06:07:10	400
C67006	1000011	30	2014-09-01 06:07:05	600
C59201	1000011	30	2014-09-01 06:07:05	450
C60804	1000027	34	2014-09-01 06:11:29	290
A56419	1000030	34	2014-09-01 06:11:20	180
B52212	1000030	34	2014-09-01 06:11:22	500
D55212	1000027	34	2014-09-01 06:11:21	520
A68785	1000031	34	2014-09-01 06:11:34	120
D68543	1000029	34	2014-09-01 06:11:20	200
B50482	1000003	30	2014-09-01 06:11:26	280
C70682	1000219	99	2014-09-01 06:11:22	160
B55325	1000029	34	2014-09-01 06:11:25	350
E42002	1000031	34	2014-09-01 06:11:30	300
C78533	1000027	34	2014-09-01 06:11:21	400
B34835	1000029	34	2014-09-01 06:11:24	850
B33011	1000030	34	2014-09-01 06:11:33	550
B33553	1000031	34	2014-09-01 06:11:15	500
D54652	1000031	34	2014-09-01 06:11:19	200
A48186	1000027	34	2014-09-01 06:11:24	470
C74912	1000030	34	2014-09-01 06:11:17	360
D79184	1000027	34	2014-09-01 06:11:19	220
A66274	1000038	34	2014-09-01 06:11:24	170
B66530	1000027	34	2014-09-01 06:11:26	350
C57426	1000027	34	2014-09-01 06:11:26	300
D66345	1000027	34	2014-09-01 06:11:17	200
A56216	1000030	34	2014-09-01 06:11:17	1200
A58663	1000031	34	2014-09-01 06:11:36	500
B79583	1000029	34	2014-09-01 06:11:34	370
C77117	1000031	34	2014-09-01 06:11:33	300
E73540	1000038	34	2014-09-01 06:11:35	170
B33011	1000030	34	2014-09-01 06:11:22	100
B79604	1000011	30	2014-09-01 06:11:24	250
A30931	1000010	30	2014-09-01 06:11:31	500
B62666	1000038	34	2014-09-01 06:12:35	600
A67761	1000038	34	2014-09-01 06:12:21	170
C27207	1000029	34	2014-09-01 06:12:25	400
C74912	1000030	34	2014-09-01 06:12:34	140
D52211	1000030	34	2014-09-01 06:12:28	300
E50142	1000011	30	2014-09-01 06:12:21	250
